,word,frequency
0,say,109874
1,trump,59650
2,president,28933
3,state,26079
4,reuters,23317
5,year,22605
6,government,20094
7,republican,18862
8,house,18368
9,new,17674
10,tell,15578
11,party,15514
12,united,15262
13,people,15257
14,election,15234
15,official,14945
16,country,14053
17,washington,12975
18,states,12198
19,include,12079
20,campaign,11878
21,vote,11406
22,group,11273
23,court,11115
24,leader,11046
25,week,10705
26,north,10614
27,security,10575
28,donald,10440
29,white,10335
30,clinton,10167
31,call,10044
32,percent,10017
33,obama,9998
34,plan,9940
35,senate,9934
36,minister,9915
37,law,9890
38,support,9531
39,right,9483
40,china,9406
41,month,9232
42,time,9122
43,work,8914
44,report,8836
45,tax,8812
46,russia,8810
47,national,8630
48,force,8597
49,statement,8522
50,democratic,8493
51,administration,8491
52,foreign,8446
53,military,8349
54,take,8320
55,bill,8289
56,presidential,8254
57,tuesday,8254
58,day,8111
59,issue,8085
60,rule,8058
61,korea,7975
62,deal,7942
63,wednesday,7908
64,political,7790
65,million,7760
66,policy,7749
67,come,7710
68,thursday,7638
69,want,7637
70,lead,7616
71,friday,7326
72,member,7325
73,attack,7247
74,monday,7053
75,need,7004
76,office,6985
77,committee,6940
78,talk,6915
79,hold,6879
80,accord,6850
81,senator,6797
82,congress,6786
83,agency,6691
84,federal,6475
85,department,6469
86,trade,6446
87,city,6435
88,police,6427
89,win,6424
90,early,6416
91,help,6352
92,comment,6349
93,go,6332
94,add,6313
95,change,6275
96,company,6230
97,iran,6223
98,russian,6218
99,news,6072
100,leave,6052
101,ask,5999
102,long,5973
103,order,5934
104,end,5912
105,secretary,5849
106,general,5752
107,power,5674
108,nuclear,5583
109,candidate,5574
110,eu,5566
111,know,5524
112,case,5516
113,south,5485
114,reuter,5470
115,meeting,5457
116,public,5454
117,seek,5409
118,business,5259
119,expect,5227
120,war,5215
121,think,5187
122,decision,5155
123,lawmaker,5140
124,meet,5041
125,high,5004
126,kill,4991
127,republicans,4975
128,run,4969
129,billion,4948
130,american,4940
131,program,4907
132,like,4885
133,world,4866
134,border,4852
135,face,4846
136,york,4831
137,spokesman,4823
138,source,4808
139,try,4753
